P20	col	row	globalx	globaly	frac	rawBA	BA	gallperlf	stemdens	maxdbh	ageest	spp	middens	middenslt20		ElevPost
E2	E	2	80	300	100	0.998775136	24.96937841	0.253105697	13	58.5	160.173	4	1	1		41.95
E3	E	3	80	280	100	0.657517278	16.43793196	0.29872789	8	59.7	163.4586	3	0	0		42.737
E4	E	4	80	260	100	0.707975183	17.69937958	0.235000241	11	48.4	132.5192	2	1	1		44.075
E5	E	5	80	240	100	0.848158545	21.20396363	0.168970678	20	40	109.52	3	1	1		43.256
E6	E	6	80	220	100	0.830589974	20.76474934	0.122420296	21	37	101.306	2	2	2		45.933
E7	E	7	80	200	100	0.906257589	22.65643972	0.371723451	13	46.4	127.0432	1	0	0		44.247
E8	E	8	80	180	100	0.740559782	18.51399456	0.39441357	23	28.4	77.7592	1	0	0		42.334
E9	E	9	80	160	100	0.992605834	24.81514585	0.497329236	19	56	153.328	5	2	1		36.972
F0	F	0	100	340	100	0.807412874	20.18532185	NA	13	44.1	120.7458	3	0	0		38.604
F1	F	1	100	320	100	1.056543528	26.41358819	0.202833168	17	51.1	139.9118	4	2	2		40.156
F10	F	10	100	140	100	0.635085521	15.87713803	1.332409483	15	38.2	104.5916	6	2	1		27.564
F11	F	11	100	120	100	1.600149798	40.00374494	NA	45	48.3	132.2454	7	8	2		18.889
F12	F	12	100	100	10	0.337966254	84.49156362	NA	7	39.3	107.6034	4	2	0		12.946
F2	F	2	100	300	100	0.826950439	20.67376097	0.207220529	16	41.1	112.5318	3	0	0		42.296
F3	F	3	100	280	100	0.844112959	21.10282398	0.289920277	14	48.3	132.2454	3	0	0		43.397
F4	F	4	100	260	100	1.029927169	25.74817923	0.243135158	13	45.7	125.1266	4	1	1		44.633
F5	F	5	100	240	100	0.835596102	20.88990254	0.143893641	10	42	114.996	2	0	0		46.133
F6	F	6	100	220	100	0.664156249	16.60390622	0.157985225	17	40.6	111.1628	2	0	0		46.261
F7	F	7	100	200	100	0.940369002	23.50922505	0.44336734	18	37.2	101.8536	1	0	0		46.124
F8	F	8	100	180	100	0.691662463	17.29156158	0.50396805	11	53.8	147.3044	2	1	0		41.71175
F9	F	9	100	160	100	0.508493475	12.71233686	1.218147452	14	38	104.044	4	0	0		36.164
G0	G	0	120	340	100	0.680592276	17.01480691	NA	17	41	112.258	3	0	0		41.345
G1	G	1	120	320	100	0.713336311	17.83340778	0.170933775	10	46.1	126.2218	3	0	0		40.964
G10	G	10	120	140	100	1.197196558	29.92991394	1.416377528	19	58.4	159.8992	5	9	2		26.512
G11	G	11	120	120	100	1.920996728	48.02491821	NA	43	46.2	126.4956	8	10	5		19.052
G12	G	12	120	100	10	0.171090351	42.77258763	NA	10	24.8	67.9024	4	4	3		12.076
G2	G	2	120	300	100	1.018624504	25.46561261	0.162214552	16	53.4	146.2092	2	0	0		42.559
G3	G	3	120	280	100	0.938120407	23.45301018	0.185161572	18	41.7	114.1746	2	0	0		46.771
G4	G	4	120	260	100	1.187284047	29.68210119	0.150152285	17	44.3	121.2934	4	0	0		47.961
G5	G	5	120	240	100	1.218014321	30.45035803	0.190602278	20	47.5	130.055	4	1	0		48.606
G6	G	6	120	220	100	0.801119478	20.02798696	0.323675916	18	32.6	89.2588	3	1	1		48.867
G7	G	7	120	200	100	1.036523728	25.91309321	0.434577453	23	40.2	110.0676	3	2	0		46.112
G8	G	8	120	180	100	1.047920641	26.19801603	0.568579197	12	48.2	131.9716	5	2	0		42.225
G9	G	9	120	160	100	1.13898206	28.47455151	1.304298546	24	52.4	143.4712	7	5	0		34.558
H0	H	0	140	340	100	1.098962882	27.47407206	NA	19	46	125.948	3	0	0		42.604
H1	H	1	140	320	100	1.116741941	27.91854851	0.150032697	21	49	134.162	4	0	0		42.382
H10	H	10	140	140	100	0.864432781	21.61081951	1.154837221	25	47.4	129.7812	6	8	2		26.681
H11	H	11	140	120	100	0.863501298	21.58753246	NA	32	52.4	143.4712	7	8	3		21.264
H12	H	12	140	100	15	0.595272118	99.2120196	NA	12	45.3	124.0314	4	1	1		12.262
H2	H	2	140	300	100	0.56552045	14.13801124	0.183800439	14	37	101.306	2	0	0		47.522
H3	H	3	140	280	100	1.538950002	38.47375005	0.188684462	19	63.5	173.863	3	0	0		48.804
H4	H	4	140	260	100	0.798446768	19.96116921	0.115688002	12	46.6	127.5908	3	1	0		50.254
H5	H	5	140	240	100	0.930006459	23.25016147	0.355815274	19	42.7	116.9126	1	0	0		49.99
H6	H	6	140	220	100	0.769680775	19.24201938	0.552710816	14	44.5	121.841	2	1	1		49.302
H7	H	7	140	200	100	0.803171724	20.0792931	0.391136035	14	42.7	116.9126	1	0	0		46.694
H8	H	8	140	180	100	0.743007083	18.57517707	0.655552444	12	46.8	128.1384	4	0	0		41.068
H9	H	9	140	160	100	1.132450689	28.31126723	0.86023617	24	48.1	131.6978	6	5	0		33.979
I0	I	0	160	340	100	0.752171894	18.80429735	NA	21	33	90.354	5	1	1		42.227
I1	I	1	160	320	100	1.005425103	25.13562757	0.155856966	20	40	109.52	2	0	0		47.174
I10	I	10	160	140	100	0.957218149	23.93045372	1.929663021	22	42.8	117.1864	7	7	2		19.202
I11	I	11	160	120	100	1.147518553	28.68796383	NA	33	38.7	105.9606	6	8	2		11.918
