P20	col	row	globalx	globaly	frac	rawBA	BA	gallperlf	stemdens	maxdbh	ageest	spp	middens	middenslt20		ElevPost
S9	S	9	360	160	100	1.139633941	28.49084852	0.479447483	19	43.6	119.3768	4	2	1		20.09
T0	T	0	380	340	100	0.684468216	17.11170541	NA	11	46.2	126.4956	4	0	0		6.946
T1	T	1	380	320	100	0.686402652	17.1600663	0.276278724	23	42.3	115.8174	6	2	2		4.6
T10	T	10	380	140	100	0.545429179	13.63572948	0.188694513	14	48.5	132.793	4	1	1		17.861
T11	T	11	380	120	100	0.872612702	21.81531756	NA	17	55.2	151.1376	7	9	4		13.043
T12	T	12	380	100	100	1.20638336	30.159584	NA	27	52.2	142.9236	8	3	2		13.99
T13	T	13	380	80	100	0.981600835	24.54002087	NA	21	49.5	135.531	8	4	1		9.322
T14	T	14	380	60	100	0.609277338	15.23193344	NA	17	49.1	134.4358	6	3	0		5.364
T15	T	15	380	40	100	1.367845514	34.19613786	NA	40	39.7	108.6986	6	13	4		3.226
T16	T	16	380	20	80	0.805223184	25.16322449	NA	39	35.7	97.7466	6	14	11		2.061
T2	T	2	380	300	100	0.278147189	6.953679719	0.27539639	12	33.4	91.4492	4	0	0		4.524
T3	T	3	380	280	100	0.760783785	19.01959462	0.389736365	9	48.6	133.0668	3	0	0		4.607
T4	T	4	380	260	100	0.921667101	23.04167752	0.689729336	11	59.5	162.911	4	0	0		7.123
T5	T	5	380	240	100	1.100492053	27.51230131	0.343968185	10	61.6	168.6608	3	0	0		12.91
T6	T	6	380	220	100	0.570448823	14.26122058	0.136097439	10	46.4	127.0432	3	0	0		17.569
T7	T	7	380	200	100	0.714050238	17.85125595	0.291265819	12	46.9	128.4122	4	1	0		16.499
T8	T	8	380	180	100	1.320513494	33.01283735	0.311861416	11	73	199.874	4	5	0		18.343
T9	T	9	380	160	100	0.839712373	20.99280933	0.122014908	13	43.9	120.1982	4	2	0		18.861
U0	U	0	400	340	100	1.101048114	27.52620286	NA	42	48.3	132.2454	5	5	1		6.222
U1	U	1	400	320	100	1.146975057	28.67437644	NA	31	61.4	168.1132	5	1	0		7.284
U10	U	10	400	140	100	0.833411909	20.83529773	NA	14	44.3	121.2934	4	6	0		12.996
U11	U	11	400	120	100	0.761068884	19.02672211	NA	13	66	180.708	7	3	2		12.266
U12	U	12	400	100	100	1.052705287	26.31763217	NA	28	42.5	116.365	7	6	0		9.724
U13	U	13	400	80	100	0.771088209	19.27720522	NA	17	40.8	111.7104	6	3	0		6.38
U14	U	14	400	60	100	1.11552693	27.88817324	NA	30	37	101.306	6	5	1		5.637
U15	U	15	400	40	100	0.758243022	18.95607555	NA	32	27.9	76.3902	7	16	8		2.848
U16	U	16	400	20	95	0.690934399	18.18248419	NA	28	54.2	148.3996	5	6	6		0.951
U2	U	2	400	300	100	1.24042016	31.010504	NA	40	41.6	113.9008	5	8	1		4.122
U3	U	3	400	280	100	0.910486173	22.76215432	NA	11	73.3	200.6954	5	4	0		3.605
U4	U	4	400	260	100	1.143038642	28.57596605	NA	10	58.4	159.8992	3	0	0		4.73
U5	U	5	400	240	100	1.10352526	27.58813151	NA	15	53.1	145.3878	4	3	0		9.723
U6	U	6	400	220	100	1.007942304	25.19855759	NA	18	48.3	132.2454	3	1	0		15.521
U7	U	7	400	200	100	0.659019745	16.47549362	NA	18	47.8	130.8764	6	3	1		15.253
U8	U	8	400	180	100	1.356130515	33.90326288	NA	22	49.5	135.531	6	6	2		14.253
U9	U	9	400	160	100	0.921480176	23.0370044	NA	15	50.5	138.269	3	5	1		14.614
V0	V	0	420	340	90	0.754257912	20.95160866	NA	23	46.6	127.5908	5	4	3		5.922
V1	V	1	420	320	100	1.149515035	28.73787588	NA	33	50.3	137.7214	6	12	6		5.175
V10	V	10	420	140	100	0.944244942	23.60612355	NA	23	41	112.258	7	11	1		10.22
V11	V	11	420	120	100	0.858555646	21.46389115	NA	19	40.9	111.9842	6	11	3		8.286
V12	V	12	420	100	100	1.001254638	25.03136596	NA	31	37.1	101.5798	8	8	1		7.528
V13	V	13	420	80	100	1.177069159	29.42672897	NA	35	36.8	100.7584	8	10	1		8.193
V14	V	14	420	60	100	1.205432243	30.13580607	NA	30	42.3	115.8174	4	8	3		5.763
V15	V	15	420	40	80	1.069519876	33.42249612	NA	43	32.2	88.1636	7	15	8		3.654
V16	V	16	420	20	20	0.66803376	83.50421996	NA	23	33.3	91.1754	5	1	1		0.995
V2	V	2	420	300	100	1.249965889	31.24914724	NA	17	67.6	185.0888	7	5	1		2.578
V3	V	3	420	280	100	1.03058062	25.76451551	NA	23	43	117.734	3	10	1		1.545
V4	V	4	420	260	100	1.265803443	31.64508609	NA	27	58.9	161.2682	7	7	2		2.882
V5	V	5	420	240	100	0.976664607	24.41661518	NA	20	65.5	179.339	3	0	0		8.993
V6	V	6	420	220	100	1.021275192	25.53187979	NA	23	42.7	116.9126	6	4	0		15.62
V7	V	7	420	200	100	0.904853297	22.62133243	NA	18	42.8	117.1864	5	4	2		16.611
V8	V	8	420	180	100	0.848517472	21.2129368	NA	28	36.3	99.3894	6	13	4		15.64
V9	V	9	420	160	100	0.611446607	15.28616518	NA	16	33.9	92.8182	6	7	2		13.002
W0	W	0	440	340	10	0.468852073	117.2130183	NA	3	52.3	143.1974	2	0	0		0
W1	W	1	440	320	10	0.388163407	97.04085183	NA	2	59.9	164.0062	1	0	0		3.765
W10	W	10	440	140	100	1.344643282	33.61608205	NA	34	41.9	114.7222	7	16	2		7.983
W11	W	11	440	120	100	1.123073035	28.07682588	NA	22	53.7	147.0306	6	7	4		6.408
W12	W	12	440	100	100	1.222461246	30.56153114	NA	36	40.7	111.4366	6	14	8		5.926
W13	W	13	440	80	100	0.875093775	21.87734438	NA	28	39	106.782	4	4	1		5.324
W14	W	14	440	60	100	1.162273828	29.05684571	NA	31	52.6	144.0188	6	10	5		3.434
W15	W	15	440	40	25	0.383341063	38.33410626	NA	16	27.9	76.3902	4	3	2		1.839
W4	W	4	440	260	40	1.016668863	63.54180392	NA	22	42.9	117.4602	4	5	4		0
W5	W	5	440	240	100	1.105235857	27.63089644	NA	25	46.2	126.4956	4	5	2		9.83
W6	W	6	440	220	100	0.924941426	23.12353565	NA	26	51.2	140.1856	7	3	1		14.865
W7	W	7	440	200	100	0.716671897	17.91679743	NA	23	30.8	84.3304	7	3	0		14.726
W8	W	8	440	180	100	0.986697283	24.66743209	NA	22	42.9	117.4602	6	7	2		13.488
W9	W	9	440	160	100	1.217252485	30.43131213	NA	21	50.1	137.1738	7	10	2		10.281
X10	X	10	460	140	100	1.075684466	26.89211165	NA	31	43	117.734	7	16	6		7.516
X11	X	11	460	120	100	1.075286269	26.88215673	NA	13	53.7	147.0306	4	3	2		6.267
X12	X	12	460	100	100	1.34215514	33.55387851	NA	28	54.4	148.9472	5	7	3		7.425
X13	X	13	460	80	95	1.660649018	43.70128995	NA	28	56.5	154.697	5	5	2		3.867
X14	X	14	460	60	45	1.21177826	67.32101444	NA	18	59.1	161.8158	5	3	2		1.979
X15	X	15	460	40	10	0.086386729	21.59668235	NA	4	19.5	53.391	3	2	2		1.7799
X4	X	4	460	260	10	0.267178318	66.79457951	NA	5	45.8	125.4004	3	1	1		0
X5	X	5	460	240	100	1.189455673	29.73639183	NA	35	45.2	123.7576	7	3	1		14.058
X6	X	6	460	220	100	1.034459702	25.86149255	NA	37	32.1	87.8898	8	5	2		12.235
X7	X	7	460	200	100	0.926742344	23.1685586	NA	23	40.3	110.3414	5	6	1		11.695
X8	X	8	460	180	100	1.309679712	32.74199279	NA	27	58.1	159.0778	9	8	5		11.019
X9	X	9	460	160	100	0.64894073	16.22351826	NA	22	35.2	96.3776	6	4	0		10.161
Y10	Y	10	480	140	100	1.139752536	28.4938134	NA	37	59.9	164.0062	6	15	9		6.968
Y11	Y	11	480	120	100	1.425800045	35.64500112	NA	32	58.7	160.7206	5	5	1		4.51
Y12	Y	12	480	100	100	1.318927775	32.97319438	NA	39	49.5	135.531	7	14	10		3.747
Y13	Y	13	480	80	40	0.789384844	49.33655278	NA	14	47.3	129.5074	6	3	1		2.337
Y5	Y	5	480	240	30	0.564864642	47.07205353	NA	18	43.1	118.0078	5	2	0		0
Y6	Y	6	480	220	90	1.709338992	47.48163867	NA	43	47	128.686	8	7	2		6.726
Y7	Y	7	480	200	100	0.887305146	22.18262865	NA	28	52.6	144.0188	6	9	5		8.86
Y8	Y	8	480	180	100	1.380038035	34.50095089	NA	35	53.5	146.483	5	7	3		9.668
Y9	Y	9	480	160	100	1.488993966	37.22484916	NA	44	48.8	133.6144	6	14	8		7.831
Z10	Z	10	500	140	100	1.356569553	33.91423882	NA	25	47.9	131.1502	6	11	4		4.274
Z11	Z	11	500	120	100	1.098738258	27.46845646	NA	42	34.9	95.5562	6	19	8		2.826
Z12	Z	12	500	100	50	1.040892113	52.04460565	NA	22	47.2	129.2336	5	1	1		2.697
Z6	Z	6	500	220	55	0.878727027	39.9421376	NA	18	44.9	122.9362	3	1	1		0
Z7	Z	7	500	200	100	1.31232886	32.8082215	NA	35	42	114.996	7	3	1		8.019
Z8	Z	8	500	180	100	1.075873747	26.89684368	NA	40	37.1	101.5798	5	8	3		9.832
Z9	Z	9	500	160	100	1.21427347	30.35683675	NA	35	47.4	129.7812	7	9	5		6.3695
